"LOCATION","Country","SUBJECT","Subject","SEX","Sex","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"BEL","Belgium","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2002","2002","PER","Persons","0","Units",,,10332780,,
"BEL","Belgium","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2003","2003","PER","Persons","0","Units",,,10376130,,
"BEL","Belgium","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2004","2004","PER","Persons","0","Units",,,10421140,,
"BEL","Belgium","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2005","2005","PER","Persons","0","Units",,,10478620,,
"BEL","Belgium","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2006","2006","PER","Persons","0","Units",,,10547960,,
"BEL","Belgium","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2007","2007","PER","Persons","0","Units",,,10625700,,
"BEL","Belgium","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2008","2008","PER","Persons","0","Units",,,10709970,,
"BEL","Belgium","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2009","2009","PER","Persons","0","Units",,,10796490,,
"BEL","Belgium","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2010","2010","PER","Persons","0","Units",,,10920270,,
"BEL","Belgium","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2011","2011","PER","Persons","0","Units",,,11047740,,
"BEL","Belgium","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2012","2012","PER","Persons","0","Units",,,11128250,"B","Break"
"FRA","France","YP99TLL1_ST","Population (hist5) All ages","FE","Females","A","Annual","2000","2000","PER","Persons","0","Units",,,30403410,,
"FRA","France","YP99TLL1_ST","Population (hist5) All ages","FE","Females","A","Annual","2001","2001","PER","Persons","0","Units",,,30630500,,
"FRA","France","YP99TLL1_ST","Population (hist5) All ages","FE","Females","A","Annual","2002","2002","PER","Persons","0","Units",,,30858910,,
"FRA","France","YP99TLL1_ST","Population (hist5) All ages","FE","Females","A","Annual","2003","2003","PER","Persons","0","Units",,,31081640,,
"FRA","France","YP99TLL1_ST","Population (hist5) All ages","FE","Females","A","Annual","2004","2004","PER","Persons","0","Units",,,31317400,,
"FRA","France","YP99TLL1_ST","Population (hist5) All ages","FE","Females","A","Annual","2005","2005","PER","Persons","0","Units",,,31564600,,
"FRA","France","YP99TLL1_ST","Population (hist5) All ages","FE","Females","A","Annual","2006","2006","PER","Persons","0","Units",,,31781490,,
"FRA","France","YP99TLL1_ST","Population (hist5) All ages","FE","Females","A","Annual","2007","2007","PER","Persons","0","Units",,,31963890,,
"FRA","France","YP99TLL1_ST","Population (hist5) All ages","FE","Females","A","Annual","2008","2008","PER","Persons","0","Units",,,32134200,,
"FRA","France","YP99TLL1_ST","Population (hist5) All ages","FE","Females","A","Annual","2009","2009","PER","Persons","0","Units",,,32292780,,
"FRA","France","YP99TLL1_ST","Population (hist5) All ages","FE","Females","A","Annual","2010","2010","PER","Persons","0","Units",,,32442000,,
"FRA","France","YP99TLL1_ST","Population (hist5) All ages","FE","Females","A","Annual","2011","2011","PER","Persons","0","Units",,,32596760,,
"FRA","France","YP99TLL1_ST","Population (hist5) All ages","FE","Females","A","Annual","2012","2012","PER","Persons","0","Units",,,32744460,,
"NLD","Netherlands","YP99TLL1_ST","Population (hist5) All ages","MA","Males","A","Annual","2000","2000","PER","Persons","0","Units",,,7878086,,
"NLD","Netherlands","YP99TLL1_ST","Population (hist5) All ages","MA","Males","A","Annual","2001","2001","PER","Persons","0","Units",,,7940911,,
"NLD","Netherlands","YP99TLL1_ST","Population (hist5) All ages","MA","Males","A","Annual","2002","2002","PER","Persons","0","Units",,,7993719,,
"NLD","Netherlands","YP99TLL1_ST","Population (hist5) All ages","MA","Males","A","Annual","2003","2003","PER","Persons","0","Units",,,8030693,,
"NLD","Netherlands","YP99TLL1_ST","Population (hist5) All ages","MA","Males","A","Annual","2004","2004","PER","Persons","0","Units",,,8055947,,
"NLD","Netherlands","YP99TLL1_ST","Population (hist5) All ages","MA","Males","A","Annual","2005","2005","PER","Persons","0","Units",,,8071693,,
"NLD","Netherlands","YP99TLL1_ST","Population (hist5) All ages","MA","Males","A","Annual","2006","2006","PER","Persons","0","Units",,,8082961,,
"NLD","Netherlands","YP99TLL1_ST","Population (hist5) All ages","MA","Males","A","Annual","2007","2007","PER","Persons","0","Units",,,8100294,,
"NLD","Netherlands","YP99TLL1_ST","Population (hist5) All ages","MA","Males","A","Annual","2008","2008","PER","Persons","0","Units",,,8134235,,
"NLD","Netherlands","YP99TLL1_ST","Population (hist5) All ages","MA","Males","A","Annual","2009","2009","PER","Persons","0","Units",,,8179936,,
"NLD","Netherlands","YP99TLL1_ST","Population (hist5) All ages","MA","Males","A","Annual","2010","2010","PER","Persons","0","Units",,,8223479,,
"NLD","Netherlands","YP99TLL1_ST","Population (hist5) All ages","MA","Males","A","Annual","2011","2011","PER","Persons","0","Units",,,8263177,,
"NLD","Netherlands","YP99TLL1_ST","Population (hist5) All ages","MA","Males","A","Annual","2012","2012","PER","Persons","0","Units",,,8295105,,
"GBR","United Kingdom","YP99TLL1_ST","Population (hist5) All ages","MA","Males","A","Annual","2000","2000","PER","Persons","0","Units",,,28690000,,
"GBR","United Kingdom","YP99TLL1_ST","Population (hist5) All ages","MA","Males","A","Annual","2001","2001","PER","Persons","0","Units",,,28832000,"B","Break"
"GBR","United Kingdom","YP99TLL1_ST","Population (hist5) All ages","MA","Males","A","Annual","2002","2002","PER","Persons","0","Units",,,28614230,,
"GBR","United Kingdom","YP99TLL1_ST","Population (hist5) All ages","MA","Males","A","Annual","2003","2003","PER","Persons","0","Units",,,28759840,,
"GBR","United Kingdom","YP99TLL1_ST","Population (hist5) All ages","MA","Males","A","Annual","2004","2004","PER","Persons","0","Units",,,28924870,,
"GBR","United Kingdom","YP99TLL1_ST","Population (hist5) All ages","MA","Males","A","Annual","2005","2005","PER","Persons","0","Units",,,29154510,,
"GBR","United Kingdom","YP99TLL1_ST","Population (hist5) All ages","MA","Males","A","Annual","2006","2006","PER","Persons","0","Units",,,29369680,,
"GBR","United Kingdom","YP99TLL1_ST","Population (hist5) All ages","MA","Males","A","Annual","2007","2007","PER","Persons","0","Units",,,29624590,,
"GBR","United Kingdom","YP99TLL1_ST","Population (hist5) All ages","MA","Males","A","Annual","2008","2008","PER","Persons","0","Units",,,29889620,,
"GBR","United Kingdom","YP99TLL1_ST","Population (hist5) All ages","MA","Males","A","Annual","2009","2009","PER","Persons","0","Units",,,30119230,,
"GBR","United Kingdom","YP99TLL1_ST","Population (hist5) All ages","MA","Males","A","Annual","2010","2010","PER","Persons","0","Units",,,30382220,,
